kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
2600;0705-0715;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0905-0915;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1105-1115;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1305-1315;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1505-1515;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1705-1715;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;1905-1915;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;2105-2115;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;2305-2315;;CHN;Xiamen Radio;M;FE;xm;1;;
2600;0000-2400;;I;Romaradio IAR;I;SEu;mz;1;;
2600;0430-0445;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1000-1015;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1030-1045;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1230-1245;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2600;1630-1645;;REU;CROSSRU La Réunion;F;WIO;su;1;;
2605;0600-1800;;CHN;Haikou Radio (x20);M;FE;hk;1;;
2605;1800-0600;;CHN;Haikou Radio (x20);M;FE;hk;1;;
2605;0125-0135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0325-0335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0525-0535;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0725-0735;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0925-0935;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1125-1135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1325-1335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1525-1535;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1725-1735;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;1925-1935;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;2125-2135;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;2325-2335;;CHN;XSH Basuo Radio;M;FE;db;1;;
2605;0025-0035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0225-0235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0425-0435;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0625-0635;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;0825-0835;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1025-1035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1225-1235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1425-1435;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1625-1635;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;1825-1835;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;2025-2035;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2605;2225-2235;;CHN;XSI Sanya Radio;M;FE;sn;1;;
2618.5;2000-0600;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;
2624;0633-0643;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0703-0713;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0903-0913;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1133-1143;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1533-1543;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;1733-1743;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;2133-2143;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;2333-2343;;GRC;Olimpia Radio;E;SEE;r;1;;
2624;0000-2400;;I;Romaradio IAR;I;SEu;t;1;;[1216]
2625;0603-0618;;MLT;Malta Radio;E;SEu;mr;1;;
2625;1003-1018;;MLT;Malta Radio;E;SEu;mr;1;;
2625;1603-1618;;MLT;Malta Radio;E;SEu;mr;1;;
2625;2103-2118;;MLT;Malta Radio;E;SEu;mr;1;;
2628;0900-0945;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1015-1100;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1100-1715;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;1800-1845;;AUS;VMC Charleville Met Fax;;Oc;c;1;;
2628;0000-2400;;I;Romaradio IAR;I;SEu;au;1;;[0216]
2632;0000-2400;;I;Romaradio IAR;I;SEu;na;1;;
2642;0000-2400;;I;Romaradio IAR;I;SEu;ge;1;;[0316]
2656;0000-2400;;I;Romaradio IAR;I;SEu;an;1;;[1216]
2657;0935-0945;;AZR;Radionaval Horta;P,E;AZR;ho;1;;
2657;2135-2145;;AZR;Radionaval Horta;P,E;AZR;ho;1;;
2657;0735-0745;;MDR;Radionaval Porto Santo;P,E;MDR;ps;1;;
2657;1935-1945;;MDR;Radionaval Porto Santo;P,E;MDR;ps;1;;
2657;0905-0915;;POR;Radionaval N.Ribeiro;P,E;POR;ms;1;;
2657;2105-2115;;POR;Radionaval N.Ribeiro;P,E;POR;ms;1;;
2663;0000-2400;;I;Romaradio IAR;I;SEu;kr;1;;[0216]
2670;0805-0815;;TUN;3VT Tunis Radio;F;NAf;tu;1;;
2670;1705-1715;;TUN;3VT Tunis Radio;F;NAf;tu;1;;
2677;0635-0645;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;0715-0730;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;1835-1845;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;1915-1930;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;
2677;2000-2015;;F;CROSS Corsen Radio Wx;F;WEu;co;2;;[0116]
2677;0733-0743;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
2677;1933-1943;;F;CROSS Gris-Nez Radio Wx;F;WEu;gn;2;;
2677;0003-0013;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;0403-0413;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;0633-0643;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2677;0803-0813;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;0733-0743;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;1000-1003;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1203-1213;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;
2677;1403-1413;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2677;1503-1513;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1600-1603;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;1603-1613;;F;CROSS La Garde Radio Wx;F,E;WEu;g;4;;
2677;2003-2013;;F;CROSS La Garde Radio Wx;F,E;WEu;g;2;;[1215]
2677;2200-2203;;F;CROSS La Garde Radio Wx;F,E;WEu;g;1;;
2677;2303-2313;;F;CROSS La Garde Radio Wx;F,E;WEu;g;5;;
2680;0000-2400;;I;Romaradio IAR;I;SEu;cg;1;;[1216]
2690;1100-1110;;INS;Jakarta Radio;E;INS;;1;;
2700;0733-0743;;CYP;Cyprus Radio;E;ME;cr;1;;
2705;0610-0620;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;0810-0820;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1010-1020;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1410-1420;;COG;Pointe Noire Radio;F;COG;pn;1;;
2705;1610-1620;;COG;Pointe Noire Radio;F;COG;pn;1;;
2719;0835-0845;;ALG;7TO Oran Radio;F,E;NAf;or;1;;
2719;1835-1845;;ALG;7TO Oran Radio;F,E;NAf;or;1;;
2719;0000-2400;;I;Romaradio IAR;I;SEu;pt;1;;[1216]
2720;0033-0043;;POL;Witowo Radio;E;CEu;w;4;;
2720;0433-0443;;POL;Witowo Radio;E;CEu;w;2;;
2720;0535-0545;;POL;Witowo Radio;PO;CEu;w;2;;[1215]
2720;0635-0645;;POL;Witowo Radio;E;CEu;w;2;;
2720;0833-0843;;POL;Witowo Radio;E;CEu;w;2;;
2720;1233-1243;;POL;Witowo Radio;E;CEu;w;2;;
2720;1633-1643;;POL;Witowo Radio;E;CEu;w;2;;
2720;1833-1843;;POL;Witowo Radio;E;CEu;w;2;;[0616]
2720;2033-2043;;POL;Witowo Radio;E;CEu;w;2;;
2720;2133-2143;;POL;Witowo Radio;E;CEu;w;2;;[0216]
2720;2333-2343;;POL;Witowo Radio;E;CEu;w;5;;
2722.1;0600-0610;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
2722.1;1200-1210;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
2722.1;1900-1910;;URG;CWC30 La Paloma Radio;S;URG;lp;1;;
2722.1;0103-0113;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
2722.1;1133-1143;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
2722.1;1903-1913;;URG;CWC39 Montevideo Radio;S;URG;tr;1;;
2722.1;0133-0143;;URG;CWC34 Punta del Este;S;URG;pe;1;;
2722.1;1503-1513;;URG;CWC34 Punta del Este;S;URG;pe;1;;
2722.1;2133-2143;;URG;CWC34 Punta del Este;S;URG;pe;1;;
2722.1;0933-0943;;URG;CWC36 Rio Branco Radio;S;URG;rb;1;;
2722.1;1703-1713;;URG;CWC36 Rio Branco Radio;S;URG;rb;1;;
2722.1;2333-2343;;URG;CWC36 Rio Branco Radio;S;URG;rb;1;;
2730;0033-0043;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;0633-0643;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;0703-0713;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;0903-0913;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;1033-1043;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;1533-1543;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;1633-1643;;GRC;Olimpia Radio;E;SEE;L;1;;
2730;2133-2143;;GRC;Olimpia Radio;E;SEE;L;1;;[0216]
2733;0200-0215;;S;Stockholm Radio;E;NEu;h;1;;
2733;0600-0615;;S;Stockholm Radio;E;NEu;h;1;;
2733;1000-1015;;S;Stockholm Radio;E;NEu;h;1;;
2733;1400-1415;;S;Stockholm Radio;E;NEu;h;1;;
2733;1800-1815;;S;Stockholm Radio;E;NEu;h;1;;
2733;2200-2215;;S;Stockholm Radio;E;NEu;h;1;;
2735;1340-1350;;TRD;9YL North Post Radio;E;Car;np;1;;
2735;2040-2050;;TRD;9YL North Post Radio;E;Car;np;1;;
2738;0150-0200;;ATA;Bahia Fildes Radio;S;ATA;f;1;;
2738;1350-1400;;ATA;Bahia Fildes Radio;S;ATA;f;1;;
2738;0045-0055;;CHL;CBA Antofagasta Radio;S;CHL;;1;;
2738;1250-1300;;CHL;CBA Antofagasta Radio;S;CHL;;1;;
2738;0220-0230;;CHL;CBF Juan Fernandez R.;S;JUF;;1;;
2738;1420-1430;;CHL;CBF Juan Fernandez R.;S;JUF;;1;;
2738;0035-0045;;CHL;CBM Magallanes Radio;S;CHL;;1;;
2738;1235-1245;;CHL;CBM Magallanes Radio;S;CHL;;1;;
2738;0205-0215;;CHL;CBN Wollaston Radio;S;CHL;;1;;
2738;1405-1415;;CHL;CBN Wollaston Radio;S;CHL;;1;;
2738;1130-1140;;CHL;CBP Puerto Montt Radio;S;CHL;;1;;
2738;2325-2335;;CHL;CBP Puerto Montt Radio;S;CHL;;1;;
2738;0045-0055;;CHL;CBT Talcahuano Radio;S;CHL;;1;;
2738;1245-1255;;CHL;CBT Talcahuano Radio;S;CHL;;1;;
2738;1235-1245;;CHL;CBV Valparaiso Radio;S;CHL;;1;;
2738;2335-2345;;CHL;CBV Valparaiso Radio;S;CHL;;1;;
2738;0215-0225;;CHL;CBX Bahia Felix Radio;S;CHL;;1;;
2738;1415-1425;;CHL;CBX Bahia Felix Radio;S;CHL;;1;;
2748;0733-0743;;ROU;Constanta Radio;E;SEE;c;1;;
2748;1033-1043;;ROU;Constanta Radio;E;SEE;c;1;;
2748;1333-1343;;ROU;Constanta Radio;E;SEE;c;1;;
2748;1633-1643;;ROU;Constanta Radio;E;SEE;c;1;;
2748;1933-1943;;ROU;Constanta Radio;E;SEE;c;1;;[0116]
2749;0437-0500;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;[1116]
2749;0847-0910;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;
2749;0937-1000;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;
2749;1407-1430;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;
2749;1737-1800;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;
2749;2317-2330;;CAN;VCF Les Escoumins QC;E,F;ENA;lv;1;;[0116]
2749;0040-0100;;CAN;VCO Sydney Radio NS;E,F;ENA;pc;1;;[1016]
2749;0740-0800;;CAN;VCO Sydney Radio NS;E,F;ENA;pc;1;;[0216]
2749;1440-1500;;CAN;VCO Sydney Radio NS;E,F;ENA;pc;1;;
2749;2010-2030;;CAN;VCO Sydney Radio NS;E,F;ENA;pc;1;;
2749;0140-0200;;CAN;VCS Halifax Radio;E,F;ENA;ym;1;;[1116]
2749;0240-0310;;CAN;VCS Halifax Radio;E;ENA;sm;1;;[1116]
2749;0810-0830;;CAN;VCS Halifax Radio;E;ENA;sm;1;;
2749;1040-1100;;CAN;VCS Halifax Radio;E;ENA;ym;1;;
2749;1540-1600;;CAN;VCS Halifax Radio;E;ENA;sm;1;;
2749;1640-1700;;CAN;VCS Halifax Radio;E;ENA;ym;1;;
2749;2040-2100;;CAN;VCS Halifax Radio;E;ENA;ym;1;;
2749;2120-2140;;CAN;VCS Halifax Radio;E;ENA;sm;1;;
2750;0530-0545;;KWT;9KK Kuwait Radio;E;KWT;kw;1;;
2750;1730-1745;;KWT;9KK Kuwait Radio;E;KWT;kw;1;;
2760;0105-0115;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;0205-0215;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;0403-0413;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;1305-1315;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;1405-1415;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;2203-2213;;CUB;CLT Habana Radio;S;Car;hr;1;;
2760;2310-2320;;CUB;CLT Habana Radio;S;Car;hr;1;;
2768;0500-0510;;QAT;Doha Radio;E;ME;dr;1;;
2768;1000-1010;;QAT;Doha Radio;E;ME;dr;1;;
2768;1600-1610;;QAT;Doha Radio;E;ME;dr;1;;
2768.5;0003-0013;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
2768.5;1403-1413;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
2768.5;2103-2113;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
2783;0105-0115;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;0305-0315;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;0505-0515;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;0705-0715;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;0905-0915;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;1105-1115;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;1305-1315;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;1505-1515;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;1705-1715;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;1905-1915;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;2105-2115;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2783;2305-2315;;CHN;XSJ Zhanjiang Radio;M;FE;zj;1;;
2789;0000-2400;;I;Romaradio IAR;I;SEu;me;1;;
2799;0633-0643;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;0703-0713;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;0903-0913;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;1133-1143;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;1533-1543;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;1733-1743;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;2133-2143;;GRC;Olimpia Radio;E;SEE;i;1;;
2799;2333-2343;;GRC;Olimpia Radio;E;SEE;i;1;;
2818;1233-1243;;SUR;PZN Paramaribo Radio;E;SUR;pm;1;;
2818;2133-2143;;SUR;PZN Paramaribo Radio;E;SUR;pm;1;;
2830;0033-0043;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;0633-0643;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;0703-0713;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;0903-0913;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;1033-1043;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;1533-1543;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;1633-1643;;GRC;Olimpia Radio;E;SEE;k;1;;
2830;2133-2143;;GRC;Olimpia Radio;E;SEE;k;1;;
2836;0903-0918;;KOR;HLK Gangneung Radio;K,E;KOR;;1;;
2850;2030-1830;;KRE;KCBS Pyongyang;K;KRE;p;1;;[1216]
2863;0000-2400;;HWA;Honolulu Volmet x25,x55;E;Oc;ho;1;;[1015]
2863;0000-2400;;J;Tokyo Volmet x10,x40;E;FE;tv;1;;
2869;0000-2400;;RUS;Novosibir Volmet x10,40;R;CIS;nv;1;;
2869;0000-2400;;RUS;Samara Volmet x15,45;R;CIS;sv;1;;[0414]
2869;0000-2400;;RUS;Syktyvkar Volmet x00,30;R;CIS;sy;1;;
2869;0000-2400;;USA;San Francisco Radio 2;E;EOc;dx;1;;
2872;0000-2400;;CAN;Gander Radio C;E;NAO;g;1;;[0415]
2872;0000-2400;;IRL;Shanwick Radio C;E;NAO;s;1;;[0116]
2872;0000-2400;;ISL;Keflavik Radio C;E;NAO;;1;;
2887;0000-2400;;USA;New York Radio CAR-A;E;Car;bg;1;;
2899;0000-2400;;CAN;Gander Radio B;E;NAO;g;1;;
2899;0000-2400;;IRL;Shanwick Radio B;E;NAO;s;1;;
2899;0000-2400;;ISL;Keflavik Radio B;E;NAO;;1;;
2932;0000-2400;;USA;San Francisco Radio NP2;E;NOc;/HWA-m;1;;
2941;0000-2400;;RUS;Rostov Volmet x25,55;R;CIS;rv;1;;[0316]
2962;0000-2400;;AZR;Santa Maria Radio E;E;NAO;sm;1;;
2962;0000-2400;;USA;New York Radio E;E;NAO;bg;1;;
2965;1305-0240;;IND;Kolkata Volmet x05,x35;E;SAs;kv;1;;
2965;1325-0300;;IND;Mumbai Volmet x25,x55;E;SAs;mv;1;;
2965;1515-0120;;PAK;Karachi Volmet x15,x45;E;SAs;kv;1;;
2965;1210-2245;;THA;Bangkok Volmet x10,x40;E;SAs;bv;1;;[1213]
2998;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
2998;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
3016;0000-2400;;AZR;Santa Maria Radio A;E;NAO;sm;1;;
3016;0000-2400;;CAN;Gander Radio A;E;NAO;g;1;;
3016;1800-0900;;IRL;Shanwick Radio A;E;NAO;s;1;;
3016;0000-2400;;USA;New York Radio A;E;NAO;bg;1;;
3023;0000-2400;;XUU;Search and Rescue Coord;E;;;1;;
3105;1730-1830;;MHL;KHAQQ Test;E;Oc;;6;1512;1512
3116;0000-2400;;RUS;Irkutsk Volmet x25,x55;R;Sib;iv;1;;
3125;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;si;4;;
3125;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;0905-0915;;GRL;OYR Aasiaat Radio;E;GRL;si;2;;
3125;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;1405-1415;;GRL;OYR Aasiaat Radio;E;GRL;si;2;;
3125;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;si;5;;
3125;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;si;4;;
3125;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;si;1;;
3125;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;si;5;;
3168.5;0000-2400;;RUS;Channel Marker L;-CW;RUS;pt;1;;[1215]
3169;1930-1935;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0111;2802[1114]
3170;0000-2400;;NOR;IAP SauraRadar 7,10,13u;;NEu;as;1;;
3180;0000-2400;;D;IAP Juliusruh Radar 27us;;CEu;jr;1;;
3185;0000-2400;;USA;WWRB Manchester, TN;E;NAm;ma;0;;
3192;1900-1905;Mo,Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0111;2802[0214]
3195;0200-0400;;USA;WWRB Manchester, TN;E;NAm;ma;0;;
3200;0430-0500;Mo-Fr;SWZ;Trans World Radio;E;SAf;;1;;
3200;0500-0600;;SWZ;Trans World Radio;E;SAf;;5;;
3200;1630-1645;Sa;SWZ;Trans World Radio;P;MOZ;;5;;
3200;1630-1645;Tu;SWZ;Trans World Radio;SGA;MOZ;;5;;
3205;0700-1406;;PNG;NBC Sandaun West Sepik;TP;PNG;v;1;;[0415]
3205;1900-2230;;PNG;NBC Sandaun West Sepik;TP;PNG;v;1;;
3210;0730-0800;Sa;AUS;Hobart Radio Int.;E;AUS;hc;6;3010;1211
3210;0800-0830;Fr;AUS;Hobart Radio Int.;E;AUS;hc;6;3010;1211
3210;1400-1430;Fr;AUS;Hobart Radio Int.;E;AUS;hc;6;3010;1211
3210;1430-1500;Sa;AUS;Hobart Radio Int.;E;AUS;hc;6;3010;1211
3210;0600-1300;Fr-Su;AUS;Unique Radio;E;AUS;hc;6;3010;1211[0716]
3210;1300-1500;Fr-Sa;AUS;Unique Radio;E;AUS;hc;6;3010;1211[0716]
3210;1500-1530;Sa;AUS;Unique Radio;E;AUS;hc;6;3010;1211[0716]
3210;0700-0730;Sa;USA;World of Radio;E;AUS;/AUS-hc;6;3010;1211
3210;0830-0900;Fr,Su;USA;World of Radio;E;AUS;/AUS-hc;6;3010;1211
3210;1400-1430;Sa;USA;World of Radio;E;AUS;/AUS-hc;6;3010;1211
3215;0500-0600;Tu-Sa;USA;Brother Stair;E;NAm;n;2;;
3215;0600-1000;Mo-Sa;USA;Brother Stair;E;NAm;n;2;;
3215;0200-0500;;USA;WWCR 1 Nashville, TN;E;NAm;n;2;;
3215;0500-0600;Mo,Su;USA;WWCR 1 Nashville, TN;E;NAm;n;2;;
3215;0600-1000;Su;USA;WWCR 1 Nashville, TN;E;NAm;n;2;;
3215;2100-0100;;USA;WWRB Manchester, TN;E;NAm;ma;6;1203;2603
3215;2100-0100;;USA;WWRB Manchester, TN;E;NAm;ma;6;3010;0511
3215;2100-0200;;USA;WWRB Manchester, TN;E;NAm;ma;6;0611;1103
3220;2030-1830;;KRE;KCBS Pyongyang;K;KRE;h;1;;[0116]
3240;0255-0325;Mo-Fr;SWZ;Trans World Radio;SHO;ZWE;;1;;
3240;0325-0340;;SWZ;Trans World Radio;NDA;ZWE;;1;;
3241;0000-2400;;CHN;BDF2 Shanghai Fax;;FE;;1;;
3241;0000-2400;;RUS;Russian Navy;-CW;RUS;xy;1;;[0616]
3247.4;0945-1000;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1045-1100;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1145-1200;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1245-1300;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1345-1400;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1445-1500;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;[0115]
3247.4;1545-1600;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3247.4;1645-1700;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
3250;0030-0730;;KRE;PBS Pyongyang Pansong;K;FE;p;1;;
3250;1330-2100;;KRE;PBS Pyongyang Pansong;K;FE;p;1;;[1116]
3250;0730-1330;;KRE;Voice of Korea;J;J;p;1;;
3250;2130-0030;;KRE;Voice of Korea;J;J;p;1;;
3250;2200-0400;;USA;WBCQ The Planet;E;NAm;q;0;;
3253;0100-0140;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
3253;0200-0240;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
3253;0600-0630;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0106;3112
3253;0700-0730;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0106;3112
3253;1000-1030;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
3253;1100-1130;;CAN;VFF Iqaluit Meteo Fax;;ENA;r;1;1007;3110
3253;2100-2130;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0106;3112
3253;2200-2230;;CAN;VFF Iqaluit Meteo Fax;;ENA;i;1;0106;3112
3255;0500-0600;;G;BBC;E;SAf;/AFS;0;;
3255;1600-2000;;G;BBC;E;SAf;/AFS;0;;
3260;0900-0914;;PNG;NBC Port Moresby;E;PNG;ma;1;;[1216]
3260;1200-1206;;PNG;NBC Port Moresby;E;PNG;ma;1;;[1016]
3260;0700-1226;;PNG;Radio Madang;TP;PNG;ma;1;;[1216]
3260;1900-2300;;PNG;Radio Madang;TP;PNG;ma;1;;
3275;0700-1333;;PNG;NBC Southern Highlands;TP;PNG;me;1;;[1016]
3275;1900-2200;;PNG;NBC Southern Highlands;TP;PNG;me;8;;
3276;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;up;4;;
3276;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;0905-0915;;GRL;OYR Aasiaat Radio;E;GRL;up;2;;
3276;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;1405-1415;;GRL;OYR Aasiaat Radio;E;GRL;up;2;;
3276;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;up;5;;
3276;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;up;4;;
3276;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;up;1;;
3276;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;up;5;;
3277;1030-1040;;XUU;Korean Number Station;K;FE;;1;;
3277;1140-1150;;XUU;Korean Number Station;K;FE;;1;;[0316]
3277;1210-1239;;XUU;Korean Number Station;K;FE;;1;;[0916]
3277;1327-1339;;XUU;Korean Number Station;K;FE;;1;;[1116]
3280.5;2000-0600;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;
3280;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;uu;4;;
