kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
0490;0000-2400;;Wld;NAVTEX;;Wld;;1;;
0518;0000-2400;;Wld;NAVTEX;;Wld;;1;;
0530;0000-2400;;USA;NA AM TIS Bcast;;USA;;1;;
0540;0000-2400;;CA;CBK Watrous;;CA;;1;;
0540;0000-2400;;CA;CBT Grand Falls;;CA;;1;;
0540;0000-2400;;MX;XEWA San Luis Potosí;;MX;;1;;
0550;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0560;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0570;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0580;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0590;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0600;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0610;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0620;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0630;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0640;0000-2400;;CA;CBN Newfoundland;;CA;;1;;
0640;0000-2400;;USA;KFI Los Angeles;;USA;;1;;
0650;0000-2400;;USA;WSM Nashville;;USA;;1;;
0660;0000-2400;;USA;WFAN New York;;USA;;1;;
0660;0000-2400;;USA;WLFJ Greenville;;USA;;1;;
0670;0000-2400;;USA;WSCR Chicago CC;;USA;;1;;
0670;0000-2400;;USA;KDLG Dillingham CC;;USA;;1;;
0680;0000-2400;;USA;KNBR San Francisco;;USA;;1;;
0690;0000-2400;;CA;CKGM Montreal;;CA;;1;;
0690;0000-2400;;MX;XEWW Tijuana;;MX;;1;;
0700;0000-2400;;USA;WLW Cincinnati;;USA;;1;;
0710;0000-2400;;USA;KIRO Seattle;;USA;;1;;
0710;0000-2400;;USA;WOR New York CC;;USA;;1;;
0720;0000-2400;;USA;WGN Chicago CC;;USA;;1;;
0720;0000-2400;;USA;KOTZ Kotzebue CC;;USA;;1;;
0730;0000-2400;;CA;CKAC Montreal;;CA;;1;;
0730;0000-2400;;MX;XEX Mexico City;;MX;;1;;
0740;0000-2400;;CA;CFZM Toronto;;CA;;1;;
0750;0000-2400;;USA;NWSB Atlanta;;USA;;1;;
0760;0000-2400;;USA;WJR Detroit;;USA;;1;;
0770;0000-2400;;USA;WABC New York;;USA;;1;;
0780;0000-2400;;USA;WBBM Chicago CC;;USA;;1;;
0780;0000-2400;;USA;KNOM Nome CC;;USA;;1;;
0780;0000-2400;;USA;KKOH Reno;;USA;;1;;
0790;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0800;0000-2400;;MX;XEROK Ciudad Juárez;;MX;;1;;
0810;0000-2400;;USA;KGO San Francisco;;USA;;1;;
0810;0000-2400;;USA;WGY Schenectady;;USA;;1;;
0820;0000-2400;;USA;WBAP Fort Worth;;USA;;1;;
0830;0000-2400;;USA;WCCO Minneapolis;;USA;;1;;
0840;0000-2400;;USA;WHAS Louisville;;USA;;1;;
0850;0000-2400;;USA;KOA Denver;;USA;;1;;
0860;0000-2400;;CA;CJBC Toronto;;CA;;1;;
0870;0000-2400;;USA;WWL New Orleans;;USA;;1;;
0880;0000-2400;;USA;WCBS New Yorkt;;USA;;1;;
0890;0000-2400;;USA;WLS Chicago;;USA;;1;;
0900;0000-2400;;CA;CKBI Prince Albert;;CA;;1;;
0900;0000-2400;;MX;XEW Mexico City;;MX;;1;;
0910;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0920;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0930;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0940;0000-2400;;CA;CFNV Montreal;;CA;;1;;
0940;0000-2400;;MX;XEQ Mexico City;;MX;;1;;
0950;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0960;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0970;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0980;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0990;0000-2400;;CA;CBW Winnipeg;;CA;;1;;
0990;0000-2400;;CA;CBY Corner Brook;;CA;;1;;
1000;0000-2400;;USA;KOMO Seattle;;USA;;1;;
1000;0000-2400;;USA;WMVP Chicago;;USA;;1;;
1000;0000-2400;;MX;XEOY Mexico City;;MX;;1;;
1010;0000-2400;;CA;CBR Calgary;;CA;;1;;
1010;0000-2400;;CA;CFRB Toronto;;CA;;1;;
1020;0000-2400;;USA;KDKA Pittsburgh;;USA;;1;;
1030;0000-2400;;USA;WBZ Boston;;USA;;1;;
1040;0000-2400;;USA;WHO Des Moines;;USA;;1;;
1050;0000-2400;;MX;XEG Monterrey;;MX;;1;;
1060;0000-2400;;USA;KYW Philadelphia;;USA;;1;;
1060;0000-2400;;MX;XEEP Mexico City;;MX;;1;;
